investor,deal_count,total_investment_usd,average_deal_usd
Y Combinator,84,1958843000,23319559.52
Mirae Asset,83,1657445000,19969216.87
Info Edge,82,2014404000,24565902.44
Accel,80,2058030000,25725375
IFC,78,1395912000,17896307.69
Sequoia Capital India,77,1988404000,25823428.57
Kalaari Capital,77,2758095000,35819415.58
Prosus Ventures,75,1959231000,26123080
Tiger Global Management,74,1334572000,18034756.76
Ribbit Capital,73,1805262000,24729616.44
Nexus Venture Partners,73,1603927000,21971602.74
Zodius Capital,72,2438677000,33870513.89
Kedaara Capital,70,1630051000,23286442.86
Peak XV,69,1865139000,27031000
Omidyar Network,67,2105474000,31424985.07
Elevation Capital,67,2797916000,41759940.3
SoftBank Vision Fund,67,1221631000,18233298.51
Blume Ventures,67,2001966000,29880089.55
Tiger Global,66,1225072000,18561696.97
Falcon Edge,65,1303817000,20058723.08
Ventures India,65,1922002000,29569261.54
LCatterton,64,845648000,13213250
A91 Partners,64,2395864000,37435375
Matrix Partners India,61,1395509000,22877196.72
Bessemer Venture Partners,60,1620193000,27003216.67
Lightspeed India,55,1228973000,22344963.64
