industry_vertical,funding_year,total_funding_usd,previous_year_funding_usd,yoy_change_usd,yoy_change_percentage,deal_count,effective_from,effective_to,is_current,record_hash
AgriTech,2020,609770000,null,null,null,16,2026-08-08,null,true,AgriTech||2020||6.0977E8||16
AgriTech,2021,296223000,609770000,-313547000,-51.42,11,2026-08-08,null,true,AgriTech||2021||2.96223E8||6.0977E8||-3.13547E8||-51.42||11
AgriTech,2022,134158000,296223000,-162065000,-54.71,18,2026-08-08,null,true,AgriTech||2022||1.34158E8||2.96223E8||-1.62065E8||-54.71||18
AgriTech,2023,191129000,134158000,56971000,42.47,13,2026-08-08,null,true,AgriTech||2023||1.91129E8||1.34158E8||5.6971E7||42.47||13
AgriTech,2024,524078000,191129000,332949000,174.2,17,2026-08-08,null,true,AgriTech||2024||5.24078E8||1.91129E8||3.32949E8||174.2||17
AgriTech,2025,387201000,524078000,-136877000,-26.12,7,2026-08-08,null,true,AgriTech||2025||3.87201E8||5.24078E8||-1.36877E8||-26.12||7
Consumer Electronics,2020,182886000,null,null,null,18,2026-08-08,null,true,Consumer Electronics||2020||1.82886E8||18
Consumer Electronics,2021,750328000,182886000,567442000,310.27,21,2026-08-08,null,true,Consumer Electronics||2021||7.50328E8||1.82886E8||5.67442E8||310.27||21
Consumer Electronics,2022,157918000,750328000,-592410000,-78.95,15,2026-08-08,null,true,Consumer Electronics||2022||1.57918E8||7.50328E8||-5.9241E8||-78.95||15
Consumer Electronics,2023,71029000,157918000,-86889000,-55.02,12,2026-08-08,null,true,Consumer Electronics||2023||7.1029E7||1.57918E8||-8.6889E7||-55.02||12
Consumer Electronics,2024,921351000,71029000,850322000,1197.15,15,2026-08-08,null,true,Consumer Electronics||2024||9.21351E8||7.1029E7||8.50322E8||1197.15||15
Consumer Electronics,2025,619977000,921351000,-301374000,-32.71,6,2026-08-08,null,true,Consumer Electronics||2025||6.19977E8||9.21351E8||-3.01374E8||-32.71||6
E-commerce,2020,290972000,null,null,null,14,2026-08-08,null,true,E-commerce||2020||2.90972E8||14
E-commerce,2021,844740000,290972000,553768000,190.32,23,2026-08-08,null,true,E-commerce||2021||8.4474E8||2.90972E8||5.53768E8||190.32||23
E-commerce,2022,14172000,844740000,-830568000,-98.32,13,2026-08-08,null,true,E-commerce||2022||1.4172E7||8.4474E8||-8.30568E8||-98.32||13
E-commerce,2023,144241000,14172000,130069000,917.79,13,2026-08-08,null,true,E-commerce||2023||1.44241E8||1.4172E7||1.30069E8||917.79||13
E-commerce,2024,325689000,144241000,181448000,125.8,20,2026-08-08,null,true,E-commerce||2024||3.25689E8||1.44241E8||1.81448E8||125.8||20
E-commerce,2025,152730000,325689000,-172959000,-53.11,7,2026-08-08,null,true,E-commerce||2025||1.5273E8||3.25689E8||-1.72959E8||-53.11||7
EdTech,2020,377572000,null,null,null,18,2026-08-08,null,true,EdTech||2020||3.77572E8||18
EdTech,2021,33978000,377572000,-343594000,-91,14,2026-08-08,null,true,EdTech||2021||3.3978E7||3.77572E8||-3.43594E8||-91.0||14
EdTech,2022,208802000,33978000,174824000,514.52,10,2026-08-08,null,true,EdTech||2022||2.08802E8||3.3978E7||1.74824E8||514.52||10
EdTech,2023,216741000,208802000,7939000,3.8,15,2026-08-08,null,true,EdTech||2023||2.16741E8||2.08802E8||7939000.0||3.8||15
EdTech,2024,710206000,216741000,493465000,227.67,13,2026-08-08,null,true,EdTech||2024||7.10206E8||2.16741E8||4.93465E8||227.67||13
EdTech,2025,79927000,710206000,-630279000,-88.75,8,2026-08-08,null,true,EdTech||2025||7.9927E7||7.10206E8||-6.30279E8||-88.75||8
Enterprise,2020,134414000,null,null,null,14,2026-08-08,null,true,Enterprise||2020||1.34414E8||14
Enterprise,2021,546749000,134414000,412335000,306.76,11,2026-08-08,null,true,Enterprise||2021||5.46749E8||1.34414E8||4.12335E8||306.76||11
Enterprise,2022,439443000,546749000,-107306000,-19.63,14,2026-08-08,null,true,Enterprise||2022||4.39443E8||5.46749E8||-1.07306E8||-19.63||14
Enterprise,2023,119408000,439443000,-320035000,-72.83,13,2026-08-08,null,true,Enterprise||2023||1.19408E8||4.39443E8||-3.20035E8||-72.83||13
Enterprise,2024,79992000,119408000,-39416000,-33.01,11,2026-08-08,null,true,Enterprise||2024||7.9992E7||1.19408E8||-3.9416E7||-33.01||11
