industry_vertical,total_funding_usd,deal_count,average_deal_usd
FoodTech,3477282000,80,43466025
Consumer Electronics,2703489000,87,31074586.21
Retail,2673074000,89,30034539.33
Mobility,2460096000,86,28605767.44
Media,2292449000,85,26969988.24
AgriTech,2142559000,82,26128768.29
E-commerce,1772544000,90,19694933.33
FinTech,1631375000,73,22347602.74
SaaS,1629119000,72,22626652.78
EdTech,1627226000,78,20861871.79
HealthTech,1623517000,76,21362065.79
Enterprise,1414032000,66,21424727.27
Logistics,1372049000,57,24071035.09
RealEstate,1267432000,79,16043443.04
