item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD000001,P00104,4,2525.96,29.02
ITEM000002,ORD000002,P00346,3,26039.89,0.9
ITEM000003,ORD000003,P00264,1,61577.89,17.34
ITEM000004,ORD000004,P00120,-2,16503.75,39.8
ITEM000005,ORD000005,P00527,5,40757.47,9.75
ITEM000006,ORD000006,P00051,3,40372.04,8.61
ITEM000007,ORD000007,P00448,3,75151.45,31.13
ITEM000008,ORD000008,P00284,5,62344.25,24.18
ITEM000009,ORD000009,P00186,3,45044.74,16.29
ITEM000010,ORD000010,P00020,4,35377.4,10.99
ITEM000011,ORD000011,P00474,5,12401.1,25.39
ITEM000012,ORD000012,P00100,2,10619.75,28.36
ITEM000013,ORD000013,P00227,1,7410.15,29.13
ITEM000014,ORD000014,P00472,5,15102.18,23.81
ITEM000015,ORD000015,P00555,4,11556.92,22.31
ITEM000016,ORD000016,P00352,3,22261.57,32.91
ITEM000017,ORD000017,P00156,4,35045.44,19.96
ITEM000018,ORD000018,P00546,2,46969.48,10.23
ITEM000019,ORD000019,P00034,5,41158.51,25.26
ITEM000020,ORD000020,P00575,3,20440.37,29.92
ITEM000021,ORD000021,P00543,3,21199.54,30.03
ITEM000022,ORD000022,P00463,4,43191.37,24.99
ITEM000023,ORD000023,P00171,5,5207.21,17.26
ITEM000024,ORD000024,P00024,3,1827.63,19.63
ITEM000025,ORD000025,P00241,4,70346.48,5.27
ITEM000026,ORD000026,P00127,1,18196.67,8.45
ITEM000027,ORD000027,P00114,5,35430.51,34.6
ITEM000028,ORD000028,P00411,5,55187.71,30.05
ITEM000029,ORD000029,P00429,5,9331.3,30.82
ITEM000030,ORD000030,P00109,3,56105.04,21.3
ITEM000031,ORD000031,P00231,4,37635.28,18.56
ITEM000032,ORD000032,P00461,2,10698.35,7.11
ITEM000033,ORD000033,P00296,1,31079.08,13.36
ITEM000034,ORD000034,P00476,2,76428.51,3.93
ITEM000035,ORD000035,P00595,4,33398.06,16.41
ITEM000036,ORD000036,P00030,5,32489.38,24.39
ITEM000037,ORD000037,P00516,1,32507.14,29.29
ITEM000038,ORD000038,P00024,-3,1873.47,6.66
ITEM000039,ORD000039,P00484,1,49177.27,0.91
ITEM000040,ORD000040,P00399,5,33374.5,7.72
ITEM000041,ORD000041,P00166,4,26753.65,34.99
ITEM000042,ORD000042,P00180,4,51169.06,36.86
ITEM000043,ORD000043,P00331,2,60345.83,35.78
ITEM000044,ORD000044,P00212,5,62773.89,9.8
ITEM000045,ORD000045,P00455,2,11425.02,38.91
ITEM000046,ORD000046,P00513,1,60267.06,33.52
ITEM000047,ORD000047,P00164,2,17727.42,38.5
ITEM000048,ORD000048,P00008,1,23412.13,16.25
ITEM000049,ORD000049,P00533,4,21349.29,2.81
ITEM000050,ORD000050,P00428,3,83564.58,21.49
ITEM000051,ORD000051,P00547,1,2198.02,33.11
ITEM000052,ORD000052,P00062,3,29466.53,33.13
ITEM000053,ORD000053,P00041,3,60932.21,37.1
ITEM000054,ORD000054,P00451,4,27046.52,4.14
ITEM000055,ORD000055,P00269,5,52513.99,4.47
ITEM000056,ORD000056,P00174,3,28061.43,13.59
ITEM000057,ORD000057,P00249,4,42261.77,3.89
ITEM000058,ORD000058,P00076,4,51643.83,19.66
ITEM000059,ORD000059,P00251,3,37790.85,27.57
ITEM000060,ORD000060,P00339,4,11043.39,22.73
ITEM000061,ORD000061,P00037,2,11314.85,11.54
