order_id,customer_id,order_date,status,region_code
ORD000001,CUST00917,2025-09-29 03:19:05,DELIVERED,WEST
ORD000002,CUST00190,2026-01-15 13:53:16,DELIVERED,WEST
ORD000003,CUST00046,2025-09-27 16:00:37,DELIVERED,SOUTH
ORD000004,,2025-10-03 20:32:36,PLACED,NORTH
ORD000005,CUST00088,2025-12-19 19:42:48,DELIVERED,CENTRAL
ORD000006,CUST00233,2026-07-21 02:13:13,CANCELLED,CENTRAL
ORD000007,CUST00429,2026-07-03 17:17:16,DELIVERED,SOUTH
ORD000008,CUST00488,2025-11-03 02:52:28,DELIVERED,NORTH
ORD000009,CUST00515,2026-06-14 20:48:25,DELIVERED,CENTRAL
ORD000010,CUST00151,2025-05-04 16:20:56,SHIPPED,SOUTH
ORD000011,CUST00996,2025-08-05 07:01:00,PLACED,WEST
ORD000012,CUST00081,2026-03-22 07:21:05,RETURNED,SOUTH
ORD000013,CUST00855,2025-09-22 11:38:30,RETURNED,NORTH
ORD000014,CUST00090,2026-02-02 20:15:23,DELIVERED,EAST
ORD000015,CUST00878,10-10-2025,DELIVERED,NORTH
ORD000016,CUST00806,2026-06-20 15:16:37,PLACED,SOUTH
ORD000017,CUST00152,2025-04-13 03:50:45,DELIVERED,NORTH
ORD000018,CUST00805,2025-10-20 19:30:06,CANCELLED,WEST
ORD000019,CUST00271,2026-01-28 23:50:24,DELIVERED,CENTRAL
ORD000020,CUST00485,2025-02-08 06:16:10,SHIPPED,SOUTH
ORD000021,CUST00634,2026-02-16 01:24:43,DELIVERED,EAST
ORD000022,CUST00708,2025-09-01 01:47:40,DELIVERED,EAST
ORD000023,CUST00919,2026-01-17 00:44:11,SHIPPED,EAST
ORD000024,,2025-10-15 17:53:57,CANCELLED,NORTH
ORD000025,CUST00996,2025-08-22 04:53:34,SHIPPED,WEST
ORD000026,,2025-11-25 09:48:33,DELIVERED,CENTRAL
ORD000027,CUST00662,2025-04-02 06:50:33,DELIVERED,WEST
